	T1_LoCHO_FAT_mean	T2_LoCHO_PROT_mean	theta	prob	log2FC	P	id
K02144	0.538573358862186	0.538680545394439	-0.000186650665148856	0.25286924616211	-0.000287095694765618	0.74713075383789	K02144
K02145	0.651020465306135	0.61391866886409	0.0432075667334163	0.011187688640636	0.0846553543638892	0.988812311359364	K02145
K02146	0.63867851808438	0.630040932274234	0.0112536864763995	0.165164656813999	0.0196443662083655	0.834835343186001	K02146
K02147	0.528193991241197	0.714258557475485	-0.248100959286916	0.25900390637562	-0.435378526646642	0.74099609362438	K02147
K02148	0.479136503855667	0.570271902565261	-0.170990589379336	0.466670061401703	-0.251213220612791	0.533329938598297	K02148
K02149	0.491955994972501	0.559491491070935	-0.130838136770607	0.579980859373968	-0.185586916848112	0.420019140626032	K02149
K02150	0.491955994972501	0.518616545050823	-0.0542546657755206	0.549054590056366	-0.0761389586444642	0.450945409943634	K02150
K02153	0.473361031138879	0.524720368861749	-0.10565827853546	0.597602141446533	-0.148607851459458	0.402397858553467	K02153
K02154	0.743939115071463	0.693544256609937	0.0560306367760642	1.30226577146342e-05	0.101196607074455	0.999986977342285	K02154
K02155	0.500046349699476	0.560040058492091	-0.108815719281052	0.596719495024762	-0.163468198162572	0.403280504975238	K02155
K02160	7.82184500809741	12.6594009616074	-0.317484711638539	0.269141652110412	-0.694628284472918	0.730858347889588	K02160
K02167	0.478447554557755	0.556529925538941	-0.150206647193918	0.53827777627122	-0.218098474648637	0.46172222372878	K02167
K02168	5.03517681291351	2.24191629300407	0.558058887271244	0.735923014984666	1.16731002724662	0.264076985015334	K02168
K02169	3.69352476753402	4.67051386751709	-0.1816332309338	0.423960954377725	-0.338583037495772	0.576039045622275	K02169
K02170	20.5593114855332	8.3751394415572	0.719681867440494	0.800087054500288	1.29560683480287	0.199912945499712	K02170
K02171	0.491955994972501	0.519107311029647	-0.0558384792056413	0.552972095270899	-0.0775035330300719	0.447027904729101	K02171
K02173	10.667507212544	3.96016511425875	0.6115665009696	0.751909755516984	1.42959059789499	0.248090244483016	K02173
K02178	0.488785687007627	0.518616545050823	-0.060870038386219	0.564229198047007	-0.0854661925009389	0.435770801952993	K02178
