	T1_LoCHO_FAT_mean	T2_LoCHO_FAT_mean	theta	prob	log2FC	P	id
K13396	0.514870753884658	0.498397905561211	0.0329298120812868	0.595953474044872	0.0469123176274691	0.404046525955128	K13396
K13414	0.554492568537595	0.493340213427884	0.124402991764441	0.706168677905585	0.168585235215838	0.293831322094415	K13414
K13419	2.37897752697818	1.80199006348959	0.224786938424126	0.658885447069402	0.400750587519314	0.341114552930598	K13419
K13427	0.506027418874038	0.476983638682294	0.0632098848356457	0.670591741232408	0.0852757785526361	0.329408258767592	K13427
K13428	0.513610732562295	0.493340213427884	0.0445499438780552	0.631129270197832	0.058092459855238	0.368870729802168	K13428
K13431	0.506123729061128	0.524135750382558	-0.0348218240405552	0.223484563947038	-0.050450400914929	0.776515436052962	K13431
K13444	51.5446187928359	104.400339296617	-0.940179104963334	0.801712221812009	-1.01823267597852	0.198287778187991	K13444
K13477	0.635770876706877	0.841667135657501	-0.20820611318611	0.323597817214667	-0.404742854684221	0.676402182785333	K13477
K13479	96.5045656490254	109.581537039172	-0.219782609129745	0.346827724552264	-0.183335641498256	0.653172275447736	K13479
K13480	7.66133746610232	6.8607469821581	0.101778745061808	0.707735601336237	0.159230608158104	0.292264398663763	K13480
K13483	0.525350399544028	0.504218709852906	0.045519881307069	0.633693626522126	0.0592303434987586	0.366306373477874	K13483
K13484	0.518777875196138	0.481487936073458	0.0823211538921155	0.694370818132638	0.107617301881392	0.305629181867362	K13484
K13486	0.509410342130514	0.471676210707492	0.0834606108186804	0.695443355869541	0.111031410283907	0.304556644130459	K13486
K13491	0.508108807370271	0.493340213427884	0.0323605539068175	0.594025427085089	0.0425545815912883	0.405974572914911	K13491
K13496	0.515202010371132	0.502293761540456	0.0281230953304106	0.579112075546388	0.0366068660758366	0.420887924453612	K13496
K13497	0.686691906941055	0.813323318026832	-0.121902030905631	0.0667706039762291	-0.244166015916053	0.933229396023771	K13497
K13499	0.518777875196138	0.472166534040039	0.101811704021254	0.70774779887031	0.135821162296343	0.29225220112969	K13499
K13500	16.1499110103704	12.6573689613936	0.196187894092557	0.656181487504839	0.351548666907504	0.343818512495161	K13500
K13507	1.54411105727704	1.14221594385335	0.177299370455199	0.663532517664386	0.434941091459563	0.336467482335614	K13507
K13509	11.0170224011862	11.9555593193391	-0.0892117109017883	0.000283230796496947	-0.117947269806484	0.999716769203503	K13509
K13511	0.498276754003104	0.49839919391016	-0.000268691829211135	0.450135615095752	-0.000354465155853284	0.549864384904248	K13511
K13514	0.518777875196138	0.476019077943342	0.0959014765378756	0.70490585604519	0.124097557763176	0.29509414395481	K13514
K13515	0.516429126188007	0.493340213427884	0.0508941449638342	0.646841502329085	0.0659874798777796	0.353158497670915	K13515
K13519	0.495157850001562	0.480144035085089	0.0329457908781527	0.59600740044501	0.044421256418671	0.40399259955499	K13519
K13522	0.537462249617763	0.493340213427884	0.0906624857327147	0.701446888047027	0.123580536050744	0.298553111952973	K13522
K13524	0.65719720730843	0.656458340640657	0.000860417673966942	0.456440658239397	0.00162289024934121	0.543559341760603	K13524
K13525	8.32537422223144	3.16045167757679	0.491155071464873	0.670350606258766	1.39738436556385	0.329649393741234	K13525
K13526	1.21651688667196	0.827644972809108	0.261171962565847	0.661249120646938	0.555672400687598	0.338750879353062	K13526
K13527	12.2274304396105	9.87621615690417	0.171609495846694	0.666748159137069	0.308090939735025	0.333251840862931	K13527
K13529	0.53565101261455	0.493340213427884	0.0898372858958893	0.70082617856471	0.118710472068256	0.29917382143529	K13529
K13530	2.60182058191018	2.47706907771321	0.0424821746014742	0.625468305187747	0.0708873777528674	0.374531694812253	K13530
